site,sample,diam,field_havg,lab_davg,lf_davg,lab_havg,lab_htavg,mass_green_leaves,mass_dead_roots,mass_live_roots,mass_rhiz,mass_litter,mass_dead_leaves,mass_dead_tillers,stems,mass_other,mass_overall,mass_above,mass_below,mound_mass
RU,T1,16.25,11.75,15.1,15.675,7,21,6.519,209.315,6.939,10.452,4.684,25.919,88.35,6.661,18.551,354.155,13.18,17.391,323.584
RU,T2,10.25,7.75,14,12.125,5.8125,18.5,3.507,244.587,5.16,6.935,23.962,17.922,32.049,3.132,9.204,313.292,6.639,12.095,294.558
RU,T3,5,6.75,8.7,6.85,4,13,4.775,2.857,5.469,6.261,0.668,7.574,1.649,5.642,26.82,34.227,10.417,11.73,12.08
RU,T4,1,2.5,1,1,2.9375,7.75,0.543,0.031,0.194,0.343,0.004,0.419,0,0,0,1.53,0.543,0.537,0.45
RU,T5,23,12,20.25,21.625,6.75,25,5.36,707.883,9.9,13.892,22.011,41.846,267.918,7.342,55.793,1054.141,12.702,23.792,1017.647
RU,T7,20,16,20.25,20.125,13.375,38.25,9.881,627.062,13.421,15.331,0,98.836,243.409,12.024,67.635,1019.964,21.905,28.752,969.307
RU,TN1,15.5,14,22.8,19.15,13.25,25.25,10.215,424.857,8.85,20.93,41.771,69.399,316.202,13.011,5.793,863.464,23.226,29.78,810.458
RU,TN2,7,5.5,7.24,7.12,7.1875,11.75,3.038,4.056,3.736,3.42,1.518,4.506,2.386,2.567,6.496,23.709,5.605,7.156,10.948
RU,TN4,21,11.75,18.5,19.75,6.1875,31,8.185,664.997,13.542,18.747,20.079,54.697,166.236,7.334,21.827,933.738,15.519,32.289,885.93
RU,TN5,6,6,10.25,8.125,7.6875,24,1.706,252.635,2.02,2.824,18.692,8.498,26.965,1.828,28.154,296.476,3.534,4.844,288.098
RU,TN6,2.5,2,2.325,2.4125,3.905,3.5,0.183,0.045,0.129,0.244,0,0.176,0.053,0,0.794,0.83,0.183,0.373,0.274
RU,TN8,10,6.875,13.35,11.675,3.38,17.375,7.295,60.819,13.402,9.788,3.397,20.641,90.297,6.911,13.565,209.153,14.206,23.19,171.757
RU,TN9,9.5,8.25,12.5,11,7.4125,25.75,3.1,327.999,11.448,4.675,14.142,13.446,79.83,3.866,2.845,444.364,6.966,16.123,421.275
RU,TN11,16,11.5,12.75,14.375,12.9375,21.5,4.847,297.167,5.175,5.403,19.191,17.693,73.194,5.48,31.99,408.959,10.327,10.578,388.054
RU,TN13,13.5,9,12.2,12.85,12.125,22.5,4.199,126.037,5.808,8.855,9.336,22.93,96.275,5.277,9.425,269.381,9.476,14.663,245.242
RU,TN14,12.75,9,17.15,14.95,9.125,30.25,3.193,439.845,7.01,9.069,20.072,20.582,79.366,2.809,25.583,561.874,6.002,16.079,539.793
RU,TN15,13,9.5,13.55,13.275,8.6125,23.5,5.103,109.399,7.909,8.163,13.22,29.53,47.611,4.93,19.836,212.645,10.033,16.072,186.54
RU,TN16,6.5,5.5,7.475,6.9875,9.4875,4.5,2.657,7.365,3.331,2.635,2.255,8.177,6.028,0,18.003,30.193,2.657,5.966,21.57
RU,TN17,3.5,1.25,6.225,4.8625,6.8125,10,1.057,3.91,1.508,1.739,4.543,3.168,3.8,0.876,4.973,16.058,1.933,3.247,10.878
RU,TN19,18.25,12,19.25,18.75,5.6875,23.5,3.066,361.256,4.069,7.929,9.917,32.77,148.911,3.36,3.974,561.361,6.426,11.998,542.937
RU,TN20,12,11,13.85,12.925,7.5,17.5,3.596,103.657,5.006,8.928,13.337,24.265,40.715,2.422,41.588,188.589,6.018,13.934,168.637
RU,TS,NA,NA,13.45,13.45,6.5,18.5,5.258,51.456,7.11,4.559,7.072,16.522,96.25,5.302,22.417,186.457,10.56,11.669,164.228
AK,T1,25,16,22.25,23.625,9.5,19.5,9.606,346.8,24.6,14.306,18.576,22.452,89.988,7.311,58.124,515.063,16.917,38.906,459.24
AK,T2,19.75,17.75,26.9,23.325,12.5,25.75,8.5,1005.1,18.2,19.1,49.5,31,85.1,8.16,128.601,1175.16,16.66,37.3,1121.2
AK,T4,11,13.5,13.25,12.125,10.75,21.4,2.82,443.5,2.06,3.09,29.84,9.71,57,3.5,32.42,521.68,6.32,5.15,510.21
AK,T5,20.5,13.125,17.95,19.225,8.625,19.5,5.5,228.7,5.8,6.9,17,20.3,73.1,5.8,38.8,346.1,11.3,12.7,322.1
AK,T6,17.25,13.875,18.65,17.95,11.55,19.8,3.3,349.5,6.6,7.6,55.3,15.1,52.4,2.9,40.86,437.4,6.2,14.2,417
AK,T7,16.75,13.75,16.25,16.5,16.5,28.5,4.9,399.7,3.6,11.4,0,26.1,72.6,6,12.283,524.3,10.9,15,498.4
AK,T8,4.25,2.875,6.75,5.5,6.35,11.575,2.48,16.4,2.39,3.84,0.11,7.1,2.81,2.02,2.85,37.04,4.5,6.23,26.31
AK,T9,9,6.75,14,11.5,8.875,17.25,3.6,252.2,3.6,6.2,6.2,15.8,22.6,4.15,9.23,308.15,7.75,9.8,290.6
AK,T10,14,8.625,16.25,15.125,10.625,26.125,9,544.5,9.4,13.8,4.7,21.3,105.7,7.7,49.72,711.4,16.7,23.2,671.5
AK,T11,12.125,12.875,10,11.0625,8,15,3.3,248.1,6.3,5.3,3.3,6.6,45.6,3.788,41.15,318.988,7.088,11.6,300.3
AK,T12,14.5,14.375,12.5,13.5,8.25,22,3.8,286.4,12.2,7.5,4.4,8.4,55.9,4.19,29.658,378.39,7.99,19.7,350.7
AK,T13,9.5,5.375,8,8.75,7.5,14.625,1.2,72.3,0.768,1.7,4.8,3,16.1,1.24,16.01,96.308,2.44,2.468,91.4
AK,T14,11.5,7.5,11.5,11.5,8.125,17.25,5.37,121.6,11.42,10.5,1,16.64,39.95,5.7,30.23,211.18,11.07,21.92,178.19
AK,T15,7.5,6.125,10.25,8.875,9.75,16,3.64,35.22,0.29,7.3,2.89,10.82,27.93,4.73,15.13,89.93,8.37,7.59,73.97
AK,T17,9.25,7,13.15,11.2,11.125,20.5,2.77,261.5,3.07,4.35,48.8,5.57,43.4,2.75,15.11,323.41,5.52,7.42,310.47
AK,T18,4.375,3.375,6.4,5.3875,4.875,8.75,1.76,20.7,0.36,3,4.18,7.63,11.22,1.5,1.1,46.17,3.26,3.36,39.55
AK,T19,15.25,9.375,14.8,15.025,8.75,21.875,5.1,231.8,6.1,12.1,84.8,22.4,39.2,5.4,9.346,322.1,10.5,18.2,293.4
AK,T20,12,8.875,15.4,13.7,11.25,25.5,3.5,445.3,2.3,5,13.2,8.9,24.5,3.6,23.8,493.1,7.1,7.3,478.7
AK,T21,2.25,1.875,4.95,3.6,7.5,16,0.35,34.5,0.7,1.3,1.1,1.5,0.41,0.52,4.24,39.28,0.87,2,36.41
AK,T22,1.75,0.625,3.85,2.8,3.75,16.125,0.34,52.02,0.38,0.69,0.03,1.5,7.22,0.6,4.26,62.75,0.94,1.07,60.74
AK,T23,7.25,4,8.25,7.75,6.875,14.3,2.1,73.9,1.5,6.3,25.9,7.8,13.4,2.533,19.4,107.533,4.633,7.8,95.1
AK,T24,24.5,12.125,24.5,24.5,11.725,22.525,4.4,497.3,7.9,11.3,25.3,13.6,112.1,4.337,67.4,650.937,8.737,19.2,623
AK,T26,7,8.75,10.5,8.75,10.5,29,1.3,356.9,2.44,3.46,44.5,4.342,5.652,1.926,57.838,376.02,3.226,5.9,366.894
AK,T27,3.25,2.875,5.1,4.175,5.125,8.125,0.834,4.6,0.237,1.3,0.299,2.6,8.2,0.783,3.75,18.554,1.617,1.537,15.4
AK,T28,2.875,1.3125,2.2,2.5375,4.5,7.625,0.32,5.2,0.18,0.74,0.15,0.94,0.97,0.24,0.85,8.59,0.56,0.92,7.11
AK,T29,20,13.875,20.5,20.25,14.75,25,9.142,513.9,19.4,16.523,42.4,29.263,105.656,10.702,64.091,704.586,19.844,35.923,648.819
AK,T30,21.5,20.75,28,24.75,19.5,32.25,6.6,875.28,11.26,11.8,111.1,20.96,43.74,8.28,110.5,977.92,14.88,23.06,939.98
AK,T32,2.5,1.375,4.6,3.55,5.75,10.75,0.53,11.01,0.41,1.29,0.1,2.17,12.83,0.65,0.77,28.89,1.18,1.7,26.01
AK,T34,23,16.75,19.5,21.25,8.5,19.25,7.9,323.9,11.3,15.6,16.2,21.6,121.4,8.548,11.989,510.248,16.448,26.9,466.9
AK,T35,29,22.5,24,26.5,19.75,28.25,10.5,939.8,13.1,17.1,41.9,41.6,100.4,12.71,81.395,1135.21,23.21,30.2,1081.8
AK,T37,28.25,22,32,30.125,17,32.5,18.86,1700.4,37.4,30.3,48.3,48.09,224.7,18.63,110.7,2078.38,37.49,67.7,1973.19
AK,T39,27.75,20,27.65,27.7,14.325,29.675,7.8,955,27.1,13.7,53.6,21.9,146.9,6.9,102.42,1179.3,14.7,40.8,1123.8
AK,T40,24.75,15.25,21.75,23.25,14.5,24.125,8.2,510.7,36.8,16.2,57.1,25.7,131.9,8.781,35.6,738.281,16.981,53,668.3
AK,T41,31,21.25,29,30,17.1,36.375,14.7,1101.7,33.7,22.3,127.8,49.7,261.5,15.02,102.095,1498.62,29.72,56,1412.9
AK,T42,32.75,23,30.6,31.675,17.75,34.75,22.74,2011.8,51.22,20.24,268.59,67.18,250.54,21.24,22.48,2444.96,43.98,71.46,2329.52
Eagle Creek,,20,,,,,,,,,,,,,,,,,,
Eagle Creek,,24,,,,,,,,,,,,,,,,,,
Eagle Creek,,8,,,,,,,,,,,,,,,,,,
Eagle Creek,,22,,,,,,,,,,,,,,,,,,
Eagle Creek,,37,,,,,,,,,,,,,,,,,,
Eagle Creek,,28,,,,,,,,,,,,,,,,,,
Eagle Creek,,6,,,,,,,,,,,,,,,,,,
Eagle Creek,,22,,,,,,,,,,,,,,,,,,
Eagle Creek,,11,,,,,,,,,,,,,,,,,,
Eagle Creek,,14,,,,,,,,,,,,,,,,,,
Eagle Creek,,26,,,,,,,,,,,,,,,,,,
Eagle Creek,,10,,,,,,,,,,,,,,,,,,
Eagle Creek,,10,,,,,,,,,,,,,,,,,,
Eagle Creek,,21,,,,,,,,,,,,,,,,,,
Eagle Creek,,17,,,,,,,,,,,,,,,,,,
Eagle Creek,,42,,,,,,,,,,,,,,,,,,
Eagle Creek,,40,,,,,,,,,,,,,,,,,,
Eagle Creek,,25,,,,,,,,,,,,,,,,,,
Eagle Creek,,15,,,,,,,,,,,,,,,,,,
Eagle Creek,,22,,,,,,,,,,,,,,,,,,
Eagle Creek,,41,,,,,,,,,,,,,,,,,,
Eagle Creek,,43.5,,,,,,,,,,,,,,,,,,
Eagle Creek,,42,,,,,,,,,,,,,,,,,,
Eagle Creek,,17,,,,,,,,,,,,,,,,,,
Eagle Creek,,10,,,,,,,,,,,,,,,,,,
Eagle Creek,,25,,,,,,,,,,,,,,,,,,
Eagle Creek,,30,,,,,,,,,,,,,,,,,,
Eagle Creek,,20,,,,,,,,,,,,,,,,,,
Eagle Creek,,26,,,,,,,,,,,,,,,,,,
Eagle Creek,,21,,,,,,,,,,,,,,,,,,
Eagle Creek,,35,,,,,,,,,,,,,,,,,,
Eagle Creek,,34,,,,,,,,,,,,,,,,,,
Eagle Creek,,42.5,,,,,,,,,,,,,,,,,,
Eagle Creek,,24,,,,,,,,,,,,,,,,,,
Eagle Creek,,23,,,,,,,,,,,,,,,,,,
Eagle Creek,,17,,,,,,,,,,,,,,,,,,
Eagle Creek,,32,,,,,,,,,,,,,,,,,,
Eagle Creek,,20,,,,,,,,,,,,,,,,,,
Eagle Creek,,28,,,,,,,,,,,,,,,,,,
Eagle Creek,,37,,,,,,,,,,,,,,,,,,
Eagle Creek,,13,,,,,,,,,,,,,,,,,,
Eagle Creek,,10,,,,,,,,,,,,,,,,,,
Eagle Creek,,40,,,,,,,,,,,,,,,,,,
Eagle Creek,,30,,,,,,,,,,,,,,,,,,
Eagle Creek,,13,,,,,,,,,,,,,,,,,,
Eagle Creek,,18,,,,,,,,,,,,,,,,,,
Eagle Creek,,24,,,,,,,,,,,,,,,,,,
Eagle Creek,,18,,,,,,,,,,,,,,,,,,
Eagle Creek,,22,,,,,,,,,,,,,,,,,,
Eagle Creek,,44,,,,,,,,,,,,,,,,,,
Eagle Creek,,20,,,,,,,,,,,,,,,,,,
Eagle Creek,,25,,,,,,,,,,,,,,,,,,
Eagle Creek,,14,,,,,,,,,,,,,,,,,,
Eagle Creek,,13,,,,,,,,,,,,,,,,,,
Eagle Creek,,22,,,,,,,,,,,,,,,,,,
Eagle Creek,,40,,,,,,,,,,,,,,,,,,
Eagle Creek,,44,,,,,,,,,,,,,,,,,,
Eagle Creek,,17,,,,,,,,,,,,,,,,,,
Eagle Creek,,12,,,,,,,,,,,,,,,,,,
Eagle Creek,,14,,,,,,,,,,,,,,,,,,
Eagle Creek,,50,,,,,,,,,,,,,,,,,,
Eagle Creek,,23,,,,,,,,,,,,,,,,,,
Eagle Creek,,15,,,,,,,,,,,,,,,,,,
Eagle Creek,,25,,,,,,,,,,,,,,,,,,
Eagle Creek,,35,,,,,,,,,,,,,,,,,,
Eagle Creek,,32,,,,,,,,,,,,,,,,,,
Eagle Creek,,17,,,,,,,,,,,,,,,,,,
Eagle Creek,,13,,,,,,,,,,,,,,,,,,
Eagle Creek,,35,,,,,,,,,,,,,,,,,,
Eagle Creek,,12,,,,,,,,,,,,,,,,,,
Eagle Creek,,14,,,,,,,,,,,,,,,,,,
Eagle Creek,,23,,,,,,,,,,,,,,,,,,
Eagle Creek,,25,,,,,,,,,,,,,,,,,,
Eagle Creek,,30,,,,,,,,,,,,,,,,,,
Eagle Creek,,10,,,,,,,,,,,,,,,,,,
Eagle Creek,,4,,,,,,,,,,,,,,,,,,
Eagle Creek,,21,,,,,,,,,,,,,,,,,,
Eagle Creek,,29,,,,,,,,,,,,,,,,,,
Eagle Creek,,28,,,,,,,,,,,,,,,,,,
Eagle Creek,,46,,,,,,,,,,,,,,,,,,
Eagle Creek,,25,,,,,,,,,,,,,,,,,,
Eagle Creek,,24,,,,,,,,,,,,,,,,,,
Eagle Creek,,21,,,,,,,,,,,,,,,,,,
Eagle Creek,,19,,,,,,,,,,,,,,,,,,
Eagle Creek,,33,,,,,,,,,,,,,,,,,,
Eagle Creek,,25,,,,,,,,,,,,,,,,,,
Eagle Creek,,25,,,,,,,,,,,,,,,,,,
Eagle Creek,,17,,,,,,,,,,,,,,,,,,
Eagle Creek,,28,,,,,,,,,,,,,,,,,,
Eagle Creek,,25,,,,,,,,,,,,,,,,,,
Eagle Creek,,9,,,,,,,,,,,,,,,,,,
Eagle Creek,,36,,,,,,,,,,,,,,,,,,
Eagle Creek,,21.5,,,,,,,,,,,,,,,,,,
Eagle Creek,,22,,,,,,,,,,,,,,,,,,
Eagle Creek,,17,,,,,,,,,,,,,,,,,,
Eagle Creek,,28,,,,,,,,,,,,,,,,,,
Eagle Creek,,22,,,,,,,,,,,,,,,,,,
Eagle Creek,,22,,,,,,,,,,,,,,,,,,
Eagle Creek,,22,,,,,,,,,,,,,,,,,,
Eagle Creek,,23,,,,,,,,,,,,,,,,,,
Eagle Creek,,13,,,,,,,,,,,,,,,,,,
Eagle Creek,,21,,,,,,,,,,,,,,,,,,
Eagle Creek,,25,,,,,,,,,,,,,,,,,,
Eagle Creek,,12,,,,,,,,,,,,,,,,,,
Eagle Creek,,22,,,,,,,,,,,,,,,,,,
Eagle Creek,,19,,,,,,,,,,,,,,,,,,
Eagle Creek,,19,,,,,,,,,,,,,,,,,,
Eagle Creek,,25,,,,,,,,,,,,,,,,,,
Eagle Creek,,33,,,,,,,,,,,,,,,,,,
Eagle Creek,,24,,,,,,,,,,,,,,,,,,
Eagle Creek,,55,,,,,,,,,,,,,,,,,,
Eagle Creek,,15,,,,,,,,,,,,,,,,,,
Eagle Creek,,24,,,,,,,,,,,,,,,,,,
Eagle Creek,,21,,,,,,,,,,,,,,,,,,
Eagle Creek,,30,,,,,,,,,,,,,,,,,,
Eagle Creek,,33,,,,,,,,,,,,,,,,,,
Eagle Creek,,35,,,,,,,,,,,,,,,,,,
Eagle Creek,,15,,,,,,,,,,,,,,,,,,
Eagle Creek,,28,,,,,,,,,,,,,,,,,,
Eagle Creek,,28,,,,,,,,,,,,,,,,,,
Eagle Creek,,11,,,,,,,,,,,,,,,,,,
Eagle Creek,,30,,,,,,,,,,,,,,,,,,
Eagle Creek,,20,,,,,,,,,,,,,,,,,,
Eagle Creek,,31,,,,,,,,,,,,,,,,,,
Eagle Creek,,28,,,,,,,,,,,,,,,,,,
Eagle Creek,,27,,,,,,,,,,,,,,,,,,
Eagle Creek,,20,,,,,,,,,,,,,,,,,,
Eagle Creek,,23,,,,,,,,,,,,,,,,,,
Eagle Creek,,10,,,,,,,,,,,,,,,,,,
Eagle Creek,,20,,,,,,,,,,,,,,,,,,
Eagle Creek,,22,,,,,,,,,,,,,,,,,,
Eagle Creek,,37,,,,,,,,,,,,,,,,,,
Eagle Creek,,19,,,,,,,,,,,,,,,,,,
Eagle Creek,,40,,,,,,,,,,,,,,,,,,
Eagle Creek,,25,,,,,,,,,,,,,,,,,,
Eagle Creek,,7,,,,,,,,,,,,,,,,,,
Eagle Creek,,33,,,,,,,,,,,,,,,,,,
Eagle Creek,,17,,,,,,,,,,,,,,,,,,
Eagle Creek,,33,,,,,,,,,,,,,,,,,,
Eagle Creek,,31,,,,,,,,,,,,,,,,,,
Eagle Creek,,28,,,,,,,,,,,,,,,,,,
Eagle Creek,,12,,,,,,,,,,,,,,,,,,
Eagle Creek,,41,,,,,,,,,,,,,,,,,,
