site,sample,diam,field_havg,lab_davg,lf_davg,lab_havg,lab_htavg,mass_green_leaves,mass_dead_roots,mass_live_roots,mass_rhiz,mass_litter,mass_dead_leaves,mass_dead_tillers,stems,mass_other,mass_overall,mass_above,mass_below,mound_mass
Eagle Creek,,40,,,,,,,,,,,,,,,,,,
Eagle Creek,,11,,,,,,,,,,,,,,,,,,
Eagle Creek,,30,,,,,,,,,,,,,,,,,,
Eagle Creek,,7,,,,,,,,,,,,,,,,,,
Eagle Creek,,30,,,,,,,,,,,,,,,,,,
Eagle Creek,,18,,,,,,,,,,,,,,,,,,
Eagle Creek,,19,,,,,,,,,,,,,,,,,,
Eagle Creek,,38,,,,,,,,,,,,,,,,,,
Eagle Creek,,20,,,,,,,,,,,,,,,,,,
Eagle Creek,,24,,,,,,,,,,,,,,,,,,
Eagle Creek,,5,,,,,,,,,,,,,,,,,,
Eagle Creek,,23,,,,,,,,,,,,,,,,,,
Eagle Creek,,28,,,,,,,,,,,,,,,,,,
Eagle Creek,,19,,,,,,,,,,,,,,,,,,
Eagle Creek,,19,,,,,,,,,,,,,,,,,,
Eagle Creek,,15,,,,,,,,,,,,,,,,,,
Eagle Creek,,26,,,,,,,,,,,,,,,,,,
Eagle Creek,,31,,,,,,,,,,,,,,,,,,
Eagle Creek,,37,,,,,,,,,,,,,,,,,,
Eagle Creek,,26,,,,,,,,,,,,,,,,,,
Eagle Creek,,36,,,,,,,,,,,,,,,,,,
Eagle Creek,,28,,,,,,,,,,,,,,,,,,
Eagle Creek,,50,,,,,,,,,,,,,,,,,,
Eagle Creek,,19,,,,,,,,,,,,,,,,,,
Eagle Creek,,9,,,,,,,,,,,,,,,,,,
Eagle Creek,,22,,,,,,,,,,,,,,,,,,
Eagle Creek,,26,,,,,,,,,,,,,,,,,,
Eagle Creek,,30,,,,,,,,,,,,,,,,,,
Eagle Creek,,22,,,,,,,,,,,,,,,,,,
Eagle Creek,,22,,,,,,,,,,,,,,,,,,
Eagle Creek,,13,,,,,,,,,,,,,,,,,,
Eagle Creek,,13,,,,,,,,,,,,,,,,,,
Eagle Creek,,60,,,,,,,,,,,,,,,,,,
Eagle Creek,,32,,,,,,,,,,,,,,,,,,
Eagle Creek,,37.5,,,,,,,,,,,,,,,,,,
Eagle Creek,,19,,,,,,,,,,,,,,,,,,
Eagle Creek,,30,,,,,,,,,,,,,,,,,,
Eagle Creek,,12,,,,,,,,,,,,,,,,,,
Eagle Creek,,29,,,,,,,,,,,,,,,,,,
Eagle Creek,,30,,,,,,,,,,,,,,,,,,
Eagle Creek,,27,,,,,,,,,,,,,,,,,,
Eagle Creek,,41,,,,,,,,,,,,,,,,,,
Eagle Creek,,14,,,,,,,,,,,,,,,,,,
Eagle Creek,,20,,,,,,,,,,,,,,,,,,
Eagle Creek,,28,,,,,,,,,,,,,,,,,,
Eagle Creek,,18,,,,,,,,,,,,,,,,,,
Eagle Creek,,30,,,,,,,,,,,,,,,,,,
Eagle Creek,,4,,,,,,,,,,,,,,,,,,
Eagle Creek,,30,,,,,,,,,,,,,,,,,,
Eagle Creek,,12,,,,,,,,,,,,,,,,,,
Eagle Creek,,30,,,,,,,,,,,,,,,,,,
Eagle Creek,,20,,,,,,,,,,,,,,,,,,
Eagle Creek,,22,,,,,,,,,,,,,,,,,,
Eagle Creek,,35,,,,,,,,,,,,,,,,,,
Eagle Creek,,18,,,,,,,,,,,,,,,,,,
Eagle Creek,,17,,,,,,,,,,,,,,,,,,
Eagle Creek,,31,,,,,,,,,,,,,,,,,,
Eagle Creek,,27,,,,,,,,,,,,,,,,,,
Eagle Creek,,20,,,,,,,,,,,,,,,,,,
Eagle Creek,,26,,,,,,,,,,,,,,,,,,
Eagle Creek,,11,,,,,,,,,,,,,,,,,,
Eagle Creek,,16,,,,,,,,,,,,,,,,,,
Eagle Creek,,21,,,,,,,,,,,,,,,,,,
Eagle Creek,,26,,,,,,,,,,,,,,,,,,
Eagle Creek,,34,,,,,,,,,,,,,,,,,,
Eagle Creek,,33,,,,,,,,,,,,,,,,,,
Eagle Creek,,30,,,,,,,,,,,,,,,,,,
Eagle Creek,,28,,,,,,,,,,,,,,,,,,
Eagle Creek,,16,,,,,,,,,,,,,,,,,,
Eagle Creek,,30,,,,,,,,,,,,,,,,,,
Eagle Creek,,26,,,,,,,,,,,,,,,,,,
Eagle Creek,,15,,,,,,,,,,,,,,,,,,
Eagle Creek,,27,,,,,,,,,,,,,,,,,,
Eagle Creek,,20,,,,,,,,,,,,,,,,,,
Eagle Creek,,30,,,,,,,,,,,,,,,,,,
Eagle Creek,,26,,,,,,,,,,,,,,,,,,
Eagle Creek,,23,,,,,,,,,,,,,,,,,,
Eagle Creek,,31,,,,,,,,,,,,,,,,,,
Eagle Creek,,32,,,,,,,,,,,,,,,,,,
Eagle Creek,,33,,,,,,,,,,,,,,,,,,
Eagle Creek,,27,,,,,,,,,,,,,,,,,,
Eagle Creek,,37,,,,,,,,,,,,,,,,,,
Eagle Creek,,20,,,,,,,,,,,,,,,,,,
Eagle Creek,,12,,,,,,,,,,,,,,,,,,
Eagle Creek,,19,,,,,,,,,,,,,,,,,,
Eagle Creek,,23,,,,,,,,,,,,,,,,,,
Eagle Creek,,16,,,,,,,,,,,,,,,,,,
Eagle Creek,,21,,,,,,,,,,,,,,,,,,
Eagle Creek,,22,,,,,,,,,,,,,,,,,,
Eagle Creek,,26,,,,,,,,,,,,,,,,,,
Eagle Creek,,23,,,,,,,,,,,,,,,,,,
Eagle Creek,,29,,,,,,,,,,,,,,,,,,
Eagle Creek,,19,,,,,,,,,,,,,,,,,,
Eagle Creek,,32,,,,,,,,,,,,,,,,,,
Eagle Creek,,22,,,,,,,,,,,,,,,,,,
Eagle Creek,,12,,,,,,,,,,,,,,,,,,
Eagle Creek,,22,,,,,,,,,,,,,,,,,,
Eagle Creek,,24,,,,,,,,,,,,,,,,,,
Eagle Creek,,13,,,,,,,,,,,,,,,,,,
Eagle Creek,,35,,,,,,,,,,,,,,,,,,
Eagle Creek,,20,,,,,,,,,,,,,,,,,,
Eagle Creek,,33,,,,,,,,,,,,,,,,,,
Eagle Creek,,17,,,,,,,,,,,,,,,,,,
Eagle Creek,,24,,,,,,,,,,,,,,,,,,
Eagle Creek,,16,,,,,,,,,,,,,,,,,,
Eagle Creek,,42,,,,,,,,,,,,,,,,,,
Eagle Creek,,8,,,,,,,,,,,,,,,,,,
Eagle Creek,,25,,,,,,,,,,,,,,,,,,
Eagle Creek,,37,,,,,,,,,,,,,,,,,,
Eagle Creek,,11,,,,,,,,,,,,,,,,,,
Eagle Creek,,18,,,,,,,,,,,,,,,,,,
Eagle Creek,,15,,,,,,,,,,,,,,,,,,
Eagle Creek,,24,,,,,,,,,,,,,,,,,,
Eagle Creek,,26,,,,,,,,,,,,,,,,,,
Eagle Creek,,23,,,,,,,,,,,,,,,,,,
Eagle Creek,,9,,,,,,,,,,,,,,,,,,
Eagle Creek,,22,,,,,,,,,,,,,,,,,,
Eagle Creek,,30,,,,,,,,,,,,,,,,,,
Eagle Creek,,23,,,,,,,,,,,,,,,,,,
Eagle Creek,,26,,,,,,,,,,,,,,,,,,
Eagle Creek,,29,,,,,,,,,,,,,,,,,,
Eagle Creek,,50,,,,,,,,,,,,,,,,,,
Eagle Creek,,16,,,,,,,,,,,,,,,,,,
Eagle Creek,,11,,,,,,,,,,,,,,,,,,
Eagle Creek,,18,,,,,,,,,,,,,,,,,,
Eagle Creek,,20,,,,,,,,,,,,,,,,,,
Eagle Creek,,25,,,,,,,,,,,,,,,,,,
Eagle Creek,,32,,,,,,,,,,,,,,,,,,
Eagle Creek,,30,,,,,,,,,,,,,,,,,,
Eagle Creek,,32,,,,,,,,,,,,,,,,,,
Eagle Creek,,20,,,,,,,,,,,,,,,,,,
Eagle Creek,,31,,,,,,,,,,,,,,,,,,
Eagle Creek,,11,,,,,,,,,,,,,,,,,,
Eagle Creek,,9,,,,,,,,,,,,,,,,,,
Eagle Creek,,18,,,,,,,,,,,,,,,,,,
Eagle Creek,,29,,,,,,,,,,,,,,,,,,
Eagle Creek,,17,,,,,,,,,,,,,,,,,,
Eagle Creek,,21,,,,,,,,,,,,,,,,,,
Eagle Creek,,21,,,,,,,,,,,,,,,,,,
Eagle Creek,,4,,,,,,,,,,,,,,,,,,
Eagle Creek,,23,,,,,,,,,,,,,,,,,,
Eagle Creek,,24,,,,,,,,,,,,,,,,,,
Eagle Creek,,12,,,,,,,,,,,,,,,,,,
Eagle Creek,,8,,,,,,,,,,,,,,,,,,
Eagle Creek,,27,,,,,,,,,,,,,,,,,,
Eagle Creek,,12,,,,,,,,,,,,,,,,,,
Eagle Creek,,27,,,,,,,,,,,,,,,,,,
Eagle Creek,,36,,,,,,,,,,,,,,,,,,
Eagle Creek,,23,,,,,,,,,,,,,,,,,,
Eagle Creek,,22,,,,,,,,,,,,,,,,,,
Eagle Creek,,29,,,,,,,,,,,,,,,,,,
Eagle Creek,,13,,,,,,,,,,,,,,,,,,
Eagle Creek,,18,,,,,,,,,,,,,,,,,,
Eagle Creek,,26,,,,,,,,,,,,,,,,,,
Eagle Creek,,6,,,,,,,,,,,,,,,,,,
Eagle Creek,,33,,,,,,,,,,,,,,,,,,
Eagle Creek,,27,,,,,,,,,,,,,,,,,,
Eagle Creek,,12,,,,,,,,,,,,,,,,,,
Eagle Creek,,17,,,,,,,,,,,,,,,,,,
Eagle Creek,,23.5,,,,,,,,,,,,,,,,,,
Eagle Creek,,5,,,,,,,,,,,,,,,,,,
Eagle Creek,,13,,,,,,,,,,,,,,,,,,
Eagle Creek,,30,,,,,,,,,,,,,,,,,,
Eagle Creek,,41,,,,,,,,,,,,,,,,,,
Eagle Creek,,16,,,,,,,,,,,,,,,,,,
Eagle Creek,,30,,,,,,,,,,,,,,,,,,
Eagle Creek,,25,,,,,,,,,,,,,,,,,,
Eagle Creek,,19,,,,,,,,,,,,,,,,,,
Eagle Creek,,23,,,,,,,,,,,,,,,,,,
Eagle Creek,,31,,,,,,,,,,,,,,,,,,
Eagle Creek,,22,,,,,,,,,,,,,,,,,,
Eagle Creek,,37,,,,,,,,,,,,,,,,,,
Eagle Creek,,21,,,,,,,,,,,,,,,,,,
Eagle Creek,,23,,,,,,,,,,,,,,,,,,
Eagle Creek,,21,,,,,,,,,,,,,,,,,,
Eagle Creek,,22,,,,,,,,,,,,,,,,,,
Eagle Creek,,21,,,,,,,,,,,,,,,,,,
Eagle Creek,,33,,,,,,,,,,,,,,,,,,
Eagle Creek,,22,,,,,,,,,,,,,,,,,,
Eagle Creek,,24,,,,,,,,,,,,,,,,,,
Eagle Creek,,12,,,,,,,,,,,,,,,,,,
Eagle Creek,,24,,,,,,,,,,,,,,,,,,
Eagle Creek,,37,,,,,,,,,,,,,,,,,,
Eagle Creek,,36,,,,,,,,,,,,,,,,,,
Eagle Creek,,15,,,,,,,,,,,,,,,,,,
Cape Thomposon,,7,,,,,,,,,,,,,,,,,,
Cape Thomposon,,7,,,,,,,,,,,,,,,,,,
Cape Thomposon,,30,,,,,,,,,,,,,,,,,,
Cape Thomposon,,13,,,,,,,,,,,,,,,,,,
Cape Thomposon,,8,,,,,,,,,,,,,,,,,,
Cape Thomposon,,17,,,,,,,,,,,,,,,,,,
Cape Thomposon,,21,,,,,,,,,,,,,,,,,,
Cape Thomposon,,8,,,,,,,,,,,,,,,,,,
Cape Thomposon,,25,,,,,,,,,,,,,,,,,,
Cape Thomposon,,12,,,,,,,,,,,,,,,,,,
Cape Thomposon,,9,,,,,,,,,,,,,,,,,,
Cape Thomposon,,10,,,,,,,,,,,,,,,,,,
Cape Thomposon,,8,,,,,,,,,,,,,,,,,,
Cape Thomposon,,12,,,,,,,,,,,,,,,,,,
Cape Thomposon,,13,,,,,,,,,,,,,,,,,,
Cape Thomposon,,18,,,,,,,,,,,,,,,,,,
Cape Thomposon,,13,,,,,,,,,,,,,,,,,,
Cape Thomposon,,26,,,,,,,,,,,,,,,,,,
Cape Thomposon,,25,,,,,,,,,,,,,,,,,,
Cape Thomposon,,22,,,,,,,,,,,,,,,,,,
Cape Thomposon,,17,,,,,,,,,,,,,,,,,,
Cape Thomposon,,19,,,,,,,,,,,,,,,,,,
Cape Thomposon,,15,,,,,,,,,,,,,,,,,,
Cape Thomposon,,16,,,,,,,,,,,,,,,,,,
Cape Thomposon,,8,,,,,,,,,,,,,,,,,,
Cape Thomposon,,22,,,,,,,,,,,,,,,,,,
Cape Thomposon,,14,,,,,,,,,,,,,,,,,,
Cape Thomposon,,17,,,,,,,,,,,,,,,,,,
Cape Thomposon,,6,,,,,,,,,,,,,,,,,,
Cape Thomposon,,13,,,,,,,,,,,,,,,,,,
Cape Thomposon,,22,,,,,,,,,,,,,,,,,,
Cape Thomposon,,14,,,,,,,,,,,,,,,,,,
Cape Thomposon,,15,,,,,,,,,,,,,,,,,,
Cape Thomposon,,30,,,,,,,,,,,,,,,,,,
Cape Thomposon,,14,,,,,,,,,,,,,,,,,,
Cape Thomposon,,20,,,,,,,,,,,,,,,,,,
Cape Thomposon,,18,,,,,,,,,,,,,,,,,,
Cape Thomposon,,18,,,,,,,,,,,,,,,,,,
Cape Thomposon,,21,,,,,,,,,,,,,,,,,,
Cape Thomposon,,20,,,,,,,,,,,,,,,,,,
Cape Thomposon,,20,,,,,,,,,,,,,,,,,,
Cape Thomposon,,17,,,,,,,,,,,,,,,,,,
Cape Thomposon,,9,,,,,,,,,,,,,,,,,,
Cape Thomposon,,17,,,,,,,,,,,,,,,,,,
Cape Thomposon,,21,,,,,,,,,,,,,,,,,,
Cape Thomposon,,7,,,,,,,,,,,,,,,,,,
Cape Thomposon,,22,,,,,,,,,,,,,,,,,,
Cape Thomposon,,16,,,,,,,,,,,,,,,,,,
Cape Thomposon,,14,,,,,,,,,,,,,,,,,,
Cape Thomposon,,20,,,,,,,,,,,,,,,,,,
Cape Thomposon,,18,,,,,,,,,,,,,,,,,,
Cape Thomposon,,26,,,,,,,,,,,,,,,,,,
Cape Thomposon,,26,,,,,,,,,,,,,,,,,,
Cape Thomposon,,7,,,,,,,,,,,,,,,,,,
Cape Thomposon,,11,,,,,,,,,,,,,,,,,,
Cape Thomposon,,17,,,,,,,,,,,,,,,,,,
Cape Thomposon,,23,,,,,,,,,,,,,,,,,,
Cape Thomposon,,27,,,,,,,,,,,,,,,,,,
Cape Thomposon,,28,,,,,,,,,,,,,,,,,,
Cape Thomposon,,26,,,,,,,,,,,,,,,,,,
Cape Thomposon,,11,,,,,,,,,,,,,,,,,,
Cape Thomposon,,20,,,,,,,,,,,,,,,,,,
Cape Thomposon,,18,,,,,,,,,,,,,,,,,,
Cape Thomposon,,7,,,,,,,,,,,,,,,,,,
Cape Thomposon,,12,,,,,,,,,,,,,,,,,,
Cape Thomposon,,23,,,,,,,,,,,,,,,,,,
Cape Thomposon,,19,,,,,,,,,,,,,,,,,,
Cape Thomposon,,17,,,,,,,,,,,,,,,,,,
Cape Thomposon,,25,,,,,,,,,,,,,,,,,,
Cape Thomposon,,15,,,,,,,,,,,,,,,,,,
Cape Thomposon,,19,,,,,,,,,,,,,,,,,,
Cape Thomposon,,28,,,,,,,,,,,,,,,,,,
Cape Thomposon,,8,,,,,,,,,,,,,,,,,,
Cape Thomposon,,15,,,,,,,,,,,,,,,,,,
Cape Thomposon,,20,,,,,,,,,,,,,,,,,,
Cape Thomposon,,21,,,,,,,,,,,,,,,,,,
Cape Thomposon,,13,,,,,,,,,,,,,,,,,,
Cape Thomposon,,22,,,,,,,,,,,,,,,,,,
Cape Thomposon,,14,,,,,,,,,,,,,,,,,,
Cape Thomposon,,22,,,,,,,,,,,,,,,,,,
Cape Thomposon,,23,,,,,,,,,,,,,,,,,,
Cape Thomposon,,29,,,,,,,,,,,,,,,,,,
Cape Thomposon,,23,,,,,,,,,,,,,,,,,,
Cape Thomposon,,19,,,,,,,,,,,,,,,,,,
Cape Thomposon,,13,,,,,,,,,,,,,,,,,,
Cape Thomposon,,22,,,,,,,,,,,,,,,,,,
Cape Thomposon,,22,,,,,,,,,,,,,,,,,,
Cape Thomposon,,24,,,,,,,,,,,,,,,,,,
Cape Thomposon,,35,,,,,,,,,,,,,,,,,,
Cape Thomposon,,20,,,,,,,,,,,,,,,,,,
Cape Thomposon,,30,,,,,,,,,,,,,,,,,,
Cape Thomposon,,18,,,,,,,,,,,,,,,,,,
Cape Thomposon,,26,,,,,,,,,,,,,,,,,,
Cape Thomposon,,10,,,,,,,,,,,,,,,,,,
Cape Thomposon,,26,,,,,,,,,,,,,,,,,,
Cape Thomposon,,20,,,,,,,,,,,,,,,,,,
Cape Thomposon,,22,,,,,,,,,,,,,,,,,,
Cape Thomposon,,13,,,,,,,,,,,,,,,,,,
Cape Thomposon,,33,,,,,,,,,,,,,,,,,,
Cape Thomposon,,20,,,,,,,,,,,,,,,,,,
Cape Thomposon,,8,,,,,,,,,,,,,,,,,,
Cape Thomposon,,10,,,,,,,,,,,,,,,,,,
Cape Thomposon,,24,,,,,,,,,,,,,,,,,,
Cape Thomposon,,10,,,,,,,,,,,,,,,,,,
Cape Thomposon,,22,,,,,,,,,,,,,,,,,,
Cape Thomposon,,21,,,,,,,,,,,,,,,,,,
Cape Thomposon,,26,,,,,,,,,,,,,,,,,,
Cape Thomposon,,15,,,,,,,,,,,,,,,,,,
Cape Thomposon,,20,,,,,,,,,,,,,,,,,,
Cape Thomposon,,22,,,,,,,,,,,,,,,,,,
Cape Thomposon,,18,,,,,,,,,,,,,,,,,,
Cape Thomposon,,22,,,,,,,,,,,,,,,,,,
Cape Thomposon,,20,,,,,,,,,,,,,,,,,,
Cape Thomposon,,29,,,,,,,,,,,,,,,,,,
Cape Thomposon,,12,,,,,,,,,,,,,,,,,,
Cape Thomposon,,24,,,,,,,,,,,,,,,,,,
Cape Thomposon,,26,,,,,,,,,,,,,,,,,,
Cape Thomposon,,30,,,,,,,,,,,,,,,,,,
Cape Thomposon,,5,,,,,,,,,,,,,,,,,,
Cape Thomposon,,10,,,,,,,,,,,,,,,,,,
Cape Thomposon,,17,,,,,,,,,,,,,,,,,,
Cape Thomposon,,29,,,,,,,,,,,,,,,,,,
Cape Thomposon,,13,,,,,,,,,,,,,,,,,,
Cape Thomposon,,17,,,,,,,,,,,,,,,,,,
Cape Thomposon,,21,,,,,,,,,,,,,,,,,,
Cape Thomposon,,27,,,,,,,,,,,,,,,,,,
Cape Thomposon,,6,,,,,,,,,,,,,,,,,,
Cape Thomposon,,5,,,,,,,,,,,,,,,,,,
Cape Thomposon,,9,,,,,,,,,,,,,,,,,,
Cape Thomposon,,17,,,,,,,,,,,,,,,,,,
Cape Thomposon,,12,,,,,,,,,,,,,,,,,,
Cape Thomposon,,11,,,,,,,,,,,,,,,,,,
Cape Thomposon,,28,,,,,,,,,,,,,,,,,,
Cape Thomposon,,15,,,,,,,,,,,,,,,,,,
Cape Thomposon,,25,,,,,,,,,,,,,,,,,,
Cape Thomposon,,18,,,,,,,,,,,,,,,,,,
Cape Thomposon,,4,,,,,,,,,,,,,,,,,,
Cape Thomposon,,15,,,,,,,,,,,,,,,,,,
Cape Thomposon,,15,,,,,,,,,,,,,,,,,,
